PublisherID,Publisher
P700000344,Disney-Hyperion
P700000345,Pan
P700000346,Vision
P700000347,Albin Michel
P700000348,"Little, Brown Books for Young Readers"
P700000349,Orbit
P700000350,Pocket Star
P700000351,Reagan Arthur Books
P700000352,Delta
P700000353,Little Brown and Company
P700000354,Anagrama
P700000355,Plume Books
P700000356,Dell
P700000357,Walker
P700000358,Top Shelf Productions
P700000359,Hesperus Press
P700000360,Delacorte Press
P700000361,Thomas Nelson
P700000362,Jonathan Cape
P700000363,Viking / Penguin
P700000364,iUniverse
P700000365,Penguin Books Ltd. (London)
P700000366,Feiwel and Friends
P700000367,Dark Forest Press
P700000368,The Writer's Coffee Shop Publishing House
P700000369,Penguin Press
P700000370,Disney-Hyperion Books
P700000371,Bloomsbury USA Children's
P700000372,"Henry Holt & Company, Inc."
P700000373,BMG/ Akula Media Group
P700000374,St. Martin's Griffin
P700000375,Riverhead Books
P700000376,Walker Books Ltd
P700000377,Graywolf Press
P700000378,Sarah Crichton Books
P700000379,Faber and Faber
P700000380,Candlewick Press
P700000381,Doubleday
P700000382,Margaret K. McElderry
P700000383,Hachette Books
P700000384,HarperCollins Children's Book's
P700000385,William Morrow Paperbacks
P700000386,Pan Books
P700000387,William Morrow Books
P700000388,Quirk
P700000389,Knopf Books for Young Readers
P700000390,Random House (NY)
P700000391,HarperCollins Publishers Ltd
P700000392,Bloomsbury
P700000393,Simon Pulse
P700000394,Owl Books (Henry Holt)
P700000395,Pamela Dorman Books/Viking
P700000396,"Simon & Schuster Children's, Margaret K. McElderry Books"
P700000397,Simon & Schuster BFYR
P700000398,Hyperion Books for Children
P700000399,Random House Trade Paperbacks
P700000400,Atlantic Monthly Press
P700000401,Hyperion Books
P700000402,Knopf Doubleday Publishing Group
P700000403,Scribe
P700000404,"Little, Brown"
P700000405,Harcourt
P700000406,Amistad
P700000407,Chatto & Windus
P700000408,Alfred A. Knopf Books for Young Readers
P700000409,Crown Publishing Group
P700000410,Crown Publishers
P700000411,Europa Editions
P700000412,Hyperion
P700000413,Broadway Books
P700000414,Harper Collins
P700000415,Time Warner Books
P700000416,William Morrow; 1ST edition
P700000417,Fourth Estate Paperbacks
P700000418,Pan MacMillan
P700000419,Penguin Group DAW
P700000420,The Dial Press
P700000421,Dutton Books
P700000422,Random House Audio Publishing Group
P700000423,Riverhead
P700000424,Algonquin Books
P700000425,Amy Einhorn Books
P700000426,Seal Books
